ID,File,Canonical family,Latest/version status,Programme layer,Public release tier,Public-facing role,Reason / interpretation,Primary risk,Next action,Drive URL
1D9HHtRQhouvolv3b-PyRQd5ca7Llp1Zs,projective_completion_physical_critical_rank_as_v0_8.md,Projective completion / AS critical rank,Current latest,Frontier AS / physical critical rank,Hold / v2.1 triage,AS/critical-rank frontier,"Likely important frontier application, but newer than public spine and needs classification before main release.",Overclaim physical critical-rank result before validation,"Audit as AS branch; include in internal snapshot, not main v2.0 unless you choose extended annex.",https://drive.google.com/file/d/1D9HHtRQhouvolv3b-PyRQd5ca7Llp1Zs/view
1fU3LdWnRLBtVj7GCTbTYGPBc76pDohxI,as_chart_descent_obstruction_certificate_v0_8.md,AS chart descent obstruction certificate,Current,Frontier AS / obstruction certificate,Hold / v2.1 triage,AS bridge validation,Possible validation/certificate paper for AS branch; probably not main footprint yet.,Appears too frontier-specific without the AS branch reader map,Audit with AS companion and critical-rank quotient.,https://drive.google.com/file/d/1fU3LdWnRLBtVj7GCTbTYGPBc76pDohxI/view
1l7a-A10jMZenW9XWm-lMTOwqhA1nucwn,as_non_domesticated_compatibility_atlas_v0_4.md,AS non-domesticated compatibility atlas,Current,Frontier AS / compatibility atlas,Hold / v2.1 triage,AS bridge atlas,May be a serious frontier application of BVD/GBS; hold until classification notes are stable.,Unclear public status from title alone,Inspect before release.,https://drive.google.com/file/d/1l7a-A10jMZenW9XWm-lMTOwqhA1nucwn/view
1o248sMTsGbe7lhJmjVIIZ4eWAmV2yF4Z,as_r2_nonlinear_validation_implementation_pass_v0_4.md,AS R2 nonlinear validation implementation pass,Current,Implementation / validation trace,Internal provenance archive,AS validation implementation,Sounds like implementation pass rather than paper; preserve for provenance.,May look like scratch or unreviewed computational trace,Archive privately; extract stable result if needed.,https://drive.google.com/file/d/1o248sMTsGbe7lhJmjVIIZ4eWAmV2yF4Z/view
1rnoBda-579wYVJRboW_SuzwkT2rw272f,as_physical_critical_rank_quotient_v0_5.md,AS physical critical rank quotient,Current,Frontier AS / critical-rank quotient,Hold / v2.1 triage,AS critical-rank paper,"Potential paper, but needs placement under AS frontier branch.",Physical-rank language may overclaim,Audit as part of AS mini-stack.,https://drive.google.com/file/d/1rnoBda-579wYVJRboW_SuzwkT2rw272f/view
1PXxnzNHi4ovebnFEuFcbJiTTwlbzFh6_,as_pgsq_solver_mode_formal_fr_tower_v0_7.md,AS PGSQ solver-mode formal FR tower,Current,Frontier AS / formal tower,Hold / v2.1 triage,AS formal solver-mode branch,Potentially dense methodology/technical AS document; not main release until categorized.,Opaque title; high reader-friction,Add explanatory one-paragraph role note before any public release.,https://drive.google.com/file/d/1PXxnzNHi4ovebnFEuFcbJiTTwlbzFh6_/view
1rVP6iTvmtLUq6fMboxNGElaGhWdW8xsb,projective_completion_physical_critical_rank_as_v0_5.md,Projective completion / AS critical rank,Superseded by v0.8,Superseded version,Superseded / do not release,Superseded AS paper,Earlier version replaced by v0.8.,Version confusion,Keep private archive only.,https://drive.google.com/file/d/1rVP6iTvmtLUq6fMboxNGElaGhWdW8xsb/view
1fuj4zrShN4A_XPLlx3dmOpPYkISH0gyk,gbs_asymptotic_safety_companion_v1_4.md,GBS asymptotic safety companion,Current,Frontier application of GBS,Public support appendix or v2.1,AS case study for GBS,"Important as GBS application, but probably follows BVD/GBS in public order.",Could be mistaken for AS result rather than method application,Include as supporting case study only if non-claims are clear.,https://drive.google.com/file/d/1fuj4zrShN4A_XPLlx3dmOpPYkISH0gyk/view
1xaqxY5u3040siP4ua5WST_QKVV-PlfXl,generative_bridge_search_structural_unblocker_transfer_v0_16.md,Generative Bridge Search,Current,Core Discovery Methodology,Main public v2.0,Candidate-generation methodology,"Core public paper. Turns BVD question-shapes into candidate-answer-shapes via typed blocker–unblocker matching, adaptation, guardrails, and verification obligations.",Must not be read as automatic solver,Place immediately after Bridge-Valence Diagnostics in public corpus.,https://drive.google.com/file/d/1xaqxY5u3040siP4ua5WST_QKVV-PlfXl/view
1Ad5pQ-9wiB65_7QaY8oLKFVu84AZ2UKV,rfop_bridge_valence_self_audit_v0_6_reproducibility.md,RFOP bridge-valence self-audit,Current latest,Reproducibility / support for BVD,Public support appendix,BVD reproducibility support,Supports BVD as reproducible diagnostic machinery; useful public appendix or method supplement.,Dense; may overload main release,"Include in support appendix, not core spine table.",https://drive.google.com/file/d/1Ad5pQ-9wiB65_7QaY8oLKFVu84AZ2UKV/view
